material_id,formula,e_above_hull_mp2020_corrected_ppd_mp
wbm-3-33636,Ba2 I6,-0.006306
wbm-3-24460,Er4 Fe2 In5,0.059572
wbm-2-29187,N6 Sr2 Zn2,0.218259
wbm-3-24851,Fe2 Tb1 Yb1,0.395557
wbm-1-49596,Er2 S6,0.009971
wbm-1-38260,Ca2 Fe2 O6,0.21095
wbm-3-20857,Cu2 Eu2 In2,0.053502
wbm-2-36510,Gd1 O7 Si2 Zr1,0.112028
wbm-2-31866,In2 Ni2 Zn1,0.045165
wbm-5-3711,Ca1 Ho1 Pb2,0.067971
wbm-4-16455,Cl4 H2 Mg2,0.736918
wbm-4-4335,B1 Ga2 Ir2 Lu1,0.13716
wbm-3-11637,C2 Ge2 La4,0.342693
wbm-4-32299,Au1 Os1 S2,0.244165
wbm-2-24011,In1 Li4 O5,0.168587
wbm-4-28433,Ga2 Hf6 O2,0.039358
wbm-5-10472,In2 Pa2 Re2,-0.011775
wbm-2-30414,Au1 Na1,0.073033
wbm-2-17117,Fe6 In4 Ru2,0.381662
wbm-1-39713,Dy2 O6 Sn2,0.158758
wbm-2-13896,Ce6 Cu2,0.096404
wbm-3-72271,Si3 V3 Zr3,0.097548
wbm-2-16228,Cs1 F6 Rh1,-0.078333
wbm-3-74609,Ti5 Tm1,0.093915
wbm-4-13352,Ga6 Rh2 Ta4,0.053998
wbm-3-50008,Au2 Ni1 Tm1,0.193773
wbm-2-5433,B6 Fe2 Ni2,0.108675
wbm-4-12603,Fe1 Ni2 Zn1,0.041207
wbm-1-1251,Al3 Pb1,0.287095
wbm-1-17690,Fe2 In6,0.499526
wbm-3-54077,Mg1 O6 Pu2 Sc1,0.190279
wbm-1-2841,Al4 Si4,0.284251
wbm-2-2644,Al2 Fe2 Gd2,0.020643
wbm-3-74656,As4 Ce4 Ti4,0.104753
wbm-1-3127,Al1 Zn3,0.030277
wbm-1-54181,Ru1 Si3 Sm1,0.000525
wbm-1-7113,Al1 C1 Pu3,0.076866
wbm-2-41850,Hf2 Ru2 Sn2,0.19707
wbm-1-36995,F2 O4 Ti2,0.201261
wbm-5-8567,Ga4 Ge2 Zr3,0.187192
wbm-1-34166,Ir1 Nb1 Sb1,0.17385
wbm-2-22109,Bi4 Hf2,-0.02471
wbm-1-7557,C2 F2 N4 Nd2,-0.25217
wbm-3-32040,H8 Sc4,0.182236
wbm-4-5918,Ca1 Mn2 Pt3,0.081044
wbm-2-18110,Eu2 Fe2 Sb4,0.105896
wbm-5-5141,Au1 Cr1 Fe2,0.410163
wbm-1-1604,Al6 As4 Ca1,0.368311
wbm-1-13506,Cu4 Ge2 Tm3,0.01857
wbm-1-10692,Ag1 Cl6 Cs2 Pd1,0.004288
wbm-3-48287,Ni6 Sn4 U2,0.083202
wbm-1-33550,Na1 S2 Sn1,0.068756
wbm-1-45582,Co2 Nb4 P2,0.017377
wbm-2-7892,C1 Cl1 Np2,0.158046
wbm-4-35943,Ho2 Ni2 Si1,-0.005083
wbm-2-29024,Ce2 N6 Rh2,0.0357
wbm-1-13437,Cu3 Se4,0.062688
wbm-1-57885,Au1 Os1 Ti2,0.191865
wbm-2-25431,Mg4 Pr2 Rh2,0.000161
wbm-1-56292,Ce4 Pt4 Sn2,-0.049148
wbm-1-21842,Ba2 Eu2 I8,0.063808
wbm-3-34569,Hf2 In2 Sb2,0.159141
wbm-1-32106,Ir1 N1 Ni3,0.197327
wbm-2-43259,As4 S4 Tb4,0.076496
wbm-5-15924,Cs1 Cu2 In1 P2,0.145456
wbm-1-5085,B4 Cu4 Mn4,0.338055
wbm-3-25135,Fe3 La1 Pt2,0.256008
wbm-5-1197,Al2 Cd4 Pt2,0.092064
wbm-3-21501,Cu1 Ho1 Te2,0.456649
wbm-4-14625,Ge4 Ta4 Tl2,0.481961
wbm-3-23875,Dy2 Eu1 F8,0.008409
wbm-3-15524,Co2 Dy1 Ir3,0.114082
